id,a_category,a_intent,a_human,b_producer,b_human,b_desc,b_wants
211036677341,human,wants_call,True,person_typing,True,"A short personal reply about scheduling a meetup during an NYC visit, ending with a physician's professional signature block. A person quickly typed this, likely on a phone or email client with an auto-appended signature.",To confirm a meeting time of around 4-5 pm and check if that works for the recipient.
211430981878,human,other_human,True,person_typing,True,A brief business reply attaching a signed NDA as part of trial prerequisites. Written by a person continuing an existing business thread.,To deliver the signed NDA and move the trial process forward.
213997904119,human,referral,True,person_typing,True,"A polite decline of an outreach/invite email, explaining the company isn't looking for external support and naming who would own the topic if that changes. A person composed this reply themselves.","To decline a conversation but offer to review written/slide materials, and redirect future inquiries to Amit Sikka."
214781199598,human,wants_call,True,person_typing,True,"A short enthusiastic reply agreeing to meet for coffee at CVPR, from someone who hasn't planned their schedule yet. Clearly typed by a person.",To confirm interest in chatting and asks the recipient to recommend a time.
216070679788,human,other_human,True,person_typing,True,"A vendor's business reply announcing a rebrand (Appalux to AARTIC AI), attaching a documentation packet with company profile, case studies, and SOPs. Written by a person as part of a vendor onboarding conversation.",To deliver requested vendor documentation and be told the next onboarding steps to join Encord's data-labeling vendor pool.
218980622530,human,other_human,True,person_typing,True,A terse one-line reply giving a volume estimate for a project's first phase (300 hours of video). Typed quickly by a person answering a question in an evaluation discussion.,To communicate the expected data volume for the first phase of the evaluation.
219140852973,other_bot,n/a,False,marketing_system,False,"An automated HubSpot notification reporting that a contact (Neal Oman of Vouched) submitted a webinar registration form, with UTM tracking details and contact/company info. Generated by HubSpot's form-submission notification system.",nothing
221539738825,out_of_office,n/a,False,autoresponder,False,An out-of-office auto-reply in Spanish ('Respuesta automática') stating the sender is away until 16 June 2025. Sent automatically by the sender's mailbox autoresponder.,nothing
223317158127,other_bot,n/a,False,ticketing_system,False,"A HubSpot @mention notification: James Watson tagged colleagues in a CRM note containing detailed sales-call notes about the company Spyne. The notification is machine-generated, though the note content itself was written by a person inside the CRM.","nothing (the underlying note's author wants colleagues to read the opportunity background, but the email itself is an automated notification)"
223398967491,human,not_interested,True,person_typing,True,A reply from a prospect saying his team already met with Encord in 2023 and they're happy with their current labeling platform. A person typed this to close out the outreach.,To decline further conversation and clarify they are not interested in switching platforms.
223582117058,other_bot,n/a,False,ticketing_system,False,A HubSpot daily task digest telling Charlotte she has no tasks due today. Fully automated scheduled notification from the CRM.,nothing
224388209892,human,asks_question,True,person_typing,True,A business reply providing a company billing address and asking follow-up questions about contract paperwork. Typed by a person progressing a deal.,To supply the address for paperwork and get answers about the payment schedule and early-termination terms of the 2-year subscription.
225427136712,other_bot,n/a,False,ticketing_system,False,A HubSpot notification informing Shreya she was made Inbound BDR Owner of a contact. Automated CRM assignment notification.,nothing
227141698751,other_bot,n/a,False,ticketing_system,False,"A HubSpot notification that 2 contacts were assigned to Shreya, listing their names and details. Automated CRM notification.",nothing
227372203205,human,wants_call,True,person_typing,True,"A one-line reply confirming a suggested meeting time, sent from Outlook for iOS. Typed by a person on their phone.",To confirm that Friday 11AM CT works for the meeting.
228131346655,other_bot,n/a,False,ticketing_system,False,An automated candidate-activity report from Lever (recruiting software) listing new applicants for a Commercial Associate job posting. Generated on a schedule by the applicant-tracking system.,nothing
230345623766,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 2 contacts (from shopic.co) were assigned to Shreya. Automated CRM assignment notification.,nothing
232526445783,human,not_interested,True,person_typing,True,"A polite rejection reply from a prospect saying they chose a different analytics tool and won't proceed with Encord, with a full corporate signature and disclaimer. Typed by a person.",To inform Encord they are not moving forward and end the sales process.
232611631309,human,not_now,True,person_typing,True,"A very short reply following a declined calendar invite, saying the sender needs to reschedule and isn't available until September. Typed by a person.",To reschedule the meeting for September or later.
235604772079,human,wants_call,True,person_typing,True,A reply apologizing that a colleague (Amit) needs to move a meeting and proposing a new time. Typed by a person (likely an assistant) coordinating scheduling.,To reschedule the meeting to Thursday at 1:30pm PST and get confirmation.
236068656350,human,asks_question,True,person_typing,True,"A detailed reply from a prospective customer deferring a call but sharing substantial requirements: 5,000-10,000 hours of audio annotation over 12 months, metadata enrichment details, and growth projections. Thoughtfully typed by a person new to data labeling.","To postpone the call, ask what its purpose would be, confirm whether their volumes fit Encord's services, and get guidance on data labeling."
236314993885,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 29 contacts (mostly from menteebot.com) were assigned to Shreya. Automated CRM assignment notification.,nothing
236452979960,human,wants_call,True,person_typing,True,"A warm reply thanking the sender for a dinner event, mentioning an upcoming vacation until the 18th, and agreeing to a walkthrough afterwards. Typed by a person.",To express thanks and agree to a quick walkthrough after returning from vacation on Friday the 18th.
236482909380,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 97 contacts (from searidgetech.com) were assigned to Shreya. Automated CRM assignment notification.,nothing
239078127829,other_bot,n/a,False,ticketing_system,False,"A HubSpot notification that 9 companies were assigned to Yianni, listing five of them. Automated CRM assignment notification.",nothing
239127848169,human,wants_call,True,person_typing,True,"A reply from a tax accountant about an amended tax return, saying he's busy with other clients but can fit in a 15-minute call around 3 or talk Monday. Typed by a person with a full professional signature.",To offer two possible call times and learn what specific queries the recipient has.
239459346679,other_bot,n/a,False,ticketing_system,False,A HubSpot notification that 100 contacts (from vecnarobotics.com) were assigned to Shreya. Automated CRM assignment notification.,nothing
240809522420,calendar_bot,n/a,False,calendar_or_scheduling_tool,False,"An empty-bodied calendar RSVP with subject 'Tentative: [Encord] AI Leaders Dinner' — a tentative response to a calendar invite, generated automatically by the invitee's calendar system when they clicked 'Maybe'.",nothing (the RSVP itself signals a tentative attendance)
241157782731,other_bot,n/a,False,ticketing_system,False,"A HubSpot Sales Workspace daily digest summarizing today's meetings and tasks (0 meetings, 58 email tasks). Fully automated scheduled CRM digest.",nothing
